title,price,brand,Model,frequency,RAM
MSI nVidia GeForce RTX 3060 VENTUS 2X OC PCI-E 12288Mb GDDR6 192 Bit Retail (RTX 3060 VENTUS 2X 12G OC),57780,MSI,nVidia GeForce RTX 3060,1320,12288
Palit GeForce GTX 1660 SUPER GP OC PCI-E 6144Mb GDDR6 192 Bit Retail (NE6166SS18J9-1160A-1),30500,Palit,GeForce GTX 1660 SUPER,1530,6144
Palit nVidia GeForce RTX 3060 Dual LHR PCI-E 12288Mb GDDR6 192 Bit Retail (PA-RTX3060 Dual 12G),50580,Palit,nVidia GeForce RTX 3060,1320,12288
ASUS nVidia GeForce RTX 3060 Ti Dual V2 OC Edition LHR PCI-E 8192Mb GDDR6 256 Bit Retail (DUAL-RTX3060TI-O8G-V2),51920,ASUS,nVidia GeForce RTX 3060 Ti,1740,8192
Palit nVidia GeForce RTX 2060 SUPER DUAL PCI-E 8192Mb GDDR6 256 Bit Retail (ne6206s018p2-1160a-1),47280,Palit,nVidia GeForce RTX 2060 SUPER,1470,8192
Palit GeForce GTX 1660 SUPER GP PCI-E 6144Mb GDDR6 192 Bit Retail (NE6166S018J9-1160A-1),30290,Palit,GeForce GTX 1660 SUPER,1530,6144
Gigabyte PCI-E 4.0 GV-N3080GAMING OC-12GD LHR NVIDIA GeForce RTX 3080 12288Mb 320 GDDR6X 1755/19000 HDMIx2 DPx3 HDCP Ret,108960,GigaByte,nan,nan,nan
MSI nVidia GeForce RTX 3060 Ti GAMING Z TRIO LHR PCI-E 8192Mb GDDR6 256 Bit Retail,57880,MSI,nVidia GeForce RTX 3060 Ti,1845,8192
GigaByte nVidia GeForce RTX 3060 EAGLE OC LHR PCI-E 12288Mb GDDR6 192 Bit Retail (GV-N3060EAGLE OC-12GD 2.0),56290,GigaByte,nVidia GeForce RTX 3060,1807,12288
RTX3080 Advanced OC 12GB LHR-V GDDR6X 384bit HDMI 3xDP (596462),104600,ColorFul,nan,nan,nan
